start,end,steady,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,chem_1,chem_2,chem_3,chem_4,chem_5,chem_6,chem_7,chem_8,chem_9
-1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.5,FALSE,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1,FALSE,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
1.5,2,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
2,2.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
2.5,3,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
3,3.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
3.5,4,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
4,4.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
4.5,5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
5,5.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
5.5,6,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
6,6.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
6.5,7,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
7,7.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
7.5,8,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
8,8.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
8.5,9,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
9,9.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
9.5,10,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
10,10.5,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
10.5,11,FALSE,0,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0
11,11.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
11.5,12,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
12,12.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
12.5,13,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
13,13.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
13.5,14,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
14,14.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
14.5,15,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
15,15.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
15.5,16,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
16,16.5,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
16.5,17,FALSE,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
