id,x_coord,z_coord
aquiclude_1,0,0
aquiclude_1,0,1
aquiclude_1,51.2,1
aquiclude_1,51.2,0
aquiclude_1,0,0
fractured_bedrock,0,1
fractured_bedrock,0,6.3
fractured_bedrock,3.8,6.6
fractured_bedrock,3.8,5.7
fractured_bedrock,48.2,10.1
fractured_bedrock,48.2,11.3
fractured_bedrock,51.2,11.3
fractured_bedrock,51.2,1
fractured_bedrock,0,1
aquiclude_2,3.8,5.7
aquiclude_2,3.8,6.6
aquiclude_2,48.2,11.3
aquiclude_2,48.2,10.1
aquiclude_2,3.8,5.7
confined_artesian_aquifer,0,6.3
confined_artesian_aquifer,0,11.8
confined_artesian_aquifer,7.8,12.9
confined_artesian_aquifer,7.8,11.5
confined_artesian_aquifer,48.2,16
confined_artesian_aquifer,48.2,17.3
confined_artesian_aquifer,51.2,17.8
confined_artesian_aquifer,51.2,11.3
confined_artesian_aquifer,48.2,11.3
confined_artesian_aquifer,3.8,6.6
confined_artesian_aquifer,0,6.3
aquitard,7.8,11.5
aquitard,7.8,12.9
aquitard,48.2,17.3
aquitard,48.2,16
aquitard,7.8,11.5
unconfined_aquifer,0,11.8
unconfined_aquifer,0,14.3
unconfined_aquifer,24.5,19.5
unconfined_aquifer,51.2,22.6
unconfined_aquifer,51.2,17.8
unconfined_aquifer,48.2,17.3
unconfined_aquifer,7.8,12.9
unconfined_aquifer,0,11.8
fine_sand,0,14.3
fine_sand,0,16.6
fine_sand,4.2,16.6
fine_sand,5.7,20
fine_sand,6.2,21.1
fine_sand,11.3,21.4
fine_sand,12.1,22.7
fine_sand,19.3,22.7
fine_sand,29.5,22.7
fine_sand,29.5,21.9
fine_sand,34.5,21.9
fine_sand,34.5,22.7
fine_sand,51.2,24
fine_sand,51.2,22.6
fine_sand,24.5,19.5
fine_sand,0,14.3
river_channel,0,16.6
river_channel,0,20
river_channel,5.7,20
river_channel,4.2,16.6
river_channel,0,16.6
clay_layer_1,29.5,21.9
clay_layer_1,29.5,22.7
clay_layer_1,34.5,22.7
clay_layer_1,34.5,21.9
clay_layer_1,29.5,21.9
clay_layer_2,12.1,22.7
clay_layer_2,12.5,23.5
clay_layer_2,19.3,23.5
clay_layer_2,19.3,22.7
clay_layer_2,12.1,22.7
soil_zone,12.5,23.5
soil_zone,13.6,25.6
soil_zone,21.4,26.6
soil_zone,28.5,27.3
soil_zone,51.2,28.1
soil_zone,51.2,24
soil_zone,34.5,22.7
soil_zone,29.5,22.7
soil_zone,19.3,22.7
soil_zone,19.3,23.5
soil_zone,12.5,23.5
inactive,0,20
inactive,0,29.8
inactive,51.2,29.8
inactive,51.2,28.1
inactive,28.5,27.3
inactive,21.4,26.6
inactive,13.6,25.6
inactive,12.5,23.5
inactive,12.1,22.7
inactive,11.3,21.4
inactive,6.2,21.1
inactive,5.7,20
inactive,0,20
